Child's First Name,Year of Birth,Gender,ASIAN AND PACIFIC ISLANDER,BLACK NON HISPANIC,HISPANIC,WHITE NON HISPANIC,overall_count,rank
DAHLIA,2011,FEMALE,0,0,0,540,540,417.0
DAISY,2011,FEMALE,1188,0,3240,1404,5832,98.0
DAKOTA,2011,FEMALE,0,540,0,0,540,417.0
DALIA,2011,FEMALE,0,0,0,360,360,587.0
DAMARIS,2011,FEMALE,0,0,396,0,396,546.0
DANA,2011,FEMALE,0,0,648,0,648,371.0
DANIELA,2011,FEMALE,0,0,4608,936,5544,104.0
DANIELLA,2011,FEMALE,0,0,2016,2952,4968,115.0
DANIELLE,2011,FEMALE,0,2040,1020,1530,4590,125.0
DANNA,2011,FEMALE,0,0,1404,0,1404,250.0
DAYANA,2011,FEMALE,0,0,792,0,792,323.0
DELILAH,2011,FEMALE,0,0,1044,0,1044,277.0
DENISE,2011,FEMALE,0,0,576,0,576,394.0
DESTINY,2011,FEMALE,0,2520,2448,0,4968,115.0
DEVORA,2011,FEMALE,0,0,0,612,612,379.0
DEVORAH,2011,FEMALE,0,0,0,1584,1584,243.0
DIANA,2011,FEMALE,0,0,3672,936,4608,122.0
DINA,2011,FEMALE,0,0,0,1476,1476,247.0
DIYA,2011,FEMALE,432,0,0,0,432,508.0
DULCE,2011,FEMALE,0,0,720,0,720,344.0
DYLAN,2011,FEMALE,0,792,0,1440,2232,200.0
EDEN,2011,FEMALE,0,792,0,1728,2520,188.0
EGYPT,2011,FEMALE,0,540,0,0,540,417.0
EILEEN,2011,FEMALE,1296,0,1008,0,2304,195.0
ELAINE,2011,FEMALE,1008,0,0,0,1008,280.0
ELEANOR,2011,FEMALE,0,0,0,1404,1404,250.0
ELENA,2011,FEMALE,1224,0,1360,1938,4522,130.0
ELIANA,2011,FEMALE,0,0,2448,2592,5040,114.0
ELIANNA,2011,FEMALE,0,0,396,0,396,546.0
ELIANNY,2011,FEMALE,0,0,432,0,432,508.0
ELINA,2011,FEMALE,396,0,0,0,396,546.0
ELISA,2011,FEMALE,0,0,612,0,612,379.0
